dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,FreshPRINCE,3.281020661923991
AluminiumConcentration,RotF,DrCIF,245.19294513116984
AppliancesEnergy,FreshPRINCE,InceptionE,4.233830273760562
BIDMC32HR,InceptionE,InceptionE,0.5783942758742192
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,InceptionE,0.2868729593311348
BarCrawl6min,DrCIF,RandF,0.048359221213598
BeijingIntAirportPM25Quality,RotF,DrCIF,52.96176859819933
BeijingPM10Quality-no-missing,InceptionE,InceptionE,63.84826493657735
BeijingPM25Quality-no-missing,InceptionE,InceptionE,40.36065176690217
BenzeneConcentration-no-missing,InceptionE,ROCKET,2.217475956490422
BinanceCoinSentiment,DrCIF,DrCIF,0.3448161943769282
BitcoinSentiment,DrCIF,DrCIF,0.1970547955872114
BoronConcentration,InceptionE,RotF,1.885017573488672
CalciumConcentration,RotF,DrCIF,1938.7468849226427
CardanoSentiment,RandF,FreshPRINCE,0.3017265538661762
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,RotF,1.863294371383796
Covid19Andalusia,FreshPRINCE,FreshPRINCE,0.0126102784616001
Covid3Month,FreshPRINCE,InceptionE,0.0547209611276185
DailyOilGasPrices,FreshPRINCE,DrCIF,1.5944423247384338
DailyTemperatureLatitude,InceptionE,InceptionE,1.6159740412763297
DhakaHourlyAirQuality,FreshPRINCE,FreshPRINCE,1.78426965652235
ElectricMotorTemperature,FreshPRINCE,InceptionE,4.728375238594748
ElectricityPredictor,RandF,InceptionE,589.4681400820284
EthereumSentiment,DrCIF,DrCIF,0.2234477453573485
FloodModeling1,InceptionE,MultiROCKET,0.0116173312567744
FloodModeling2,MultiROCKET,InceptionE,0.0054770253620852
FloodModeling3,MultiROCKET,InceptionE,0.0063612726587229
GasSensorArrayAcetone,MultiROCKET,RotF,0.1930651298843828
GasSensorArrayEthanol,RotF,MultiROCKET,0.1566687944991748
HotwaterPredictor,InceptionE,RandF,1309.688172813611
HouseholdPowerConsumption1-no-missing,FreshPRINCE,DrCIF,165.76667675848248
HouseholdPowerConsumption2-no-missing,MultiROCKET,FreshPRINCE,29.39287417621664
IEEEPPG,InceptionE,InceptionE,3.698176360187517
IronConcentration,MultiROCKET,RotF,61.92113524676817
LPGasMonitoringHomeActivity,DrCIF,DrCIF,1.2620080684903343
LiveFuelMoistureContent,DrCIF,InceptionE,44.80283900848645
MadridPM10Quality-no-missing,InceptionE,InceptionE,6.951213912653612
MagnesiumConcentration,InceptionE,DrCIF,160.8196348733945
ManganeseConcentration,RotF,MultiROCKET,87.76920410551212
MethaneMonitoringHomeActivity,DrCIF,FreshPRINCE,0.530501092709661
MetroInterstateTrafficVolume,DrCIF,FreshPRINCE,559.270839378965
NaturalGasPricesSentiment,TSF,MultiROCKET,0.0766233618329436
NewsHeadlineSentiment,TSF,TSF,0.142229707280456
NewsTitleSentiment,TSF,TSF,0.1371251077023674
OccupancyDetectionLight,FreshPRINCE,RotF,75.28684114966464
PPGDalia-equal-length,InceptionE,InceptionE,6.680548130643419
ParkingBirmingham-equal-length,RotF,DrCIF,0.1169744742740565
PhosphorusConcentration,InceptionE,InceptionE,17.76582541053559
PotassiumConcentration,DrCIF,InceptionE,172.41864902727548
PrecipitationAndalusia-no-missing,ROCKET,FreshPRINCE,0.3612929521146245
SierraNevadaMountainsSnow,InceptionE,InceptionE,33.83379520366146
SodiumConcentration,DrCIF,RotF,652.7057211233224
SolarRadiationAndalusia-no-missing,FreshPRINCE,FreshPRINCE,0.6195325190618668
SteamPredictor,InceptionE,InceptionE,29704.370205910363
SulphurConcentration,DrCIF,RotF,215.0778565912935
TetuanEnergyConsumption,DrCIF,FreshPRINCE,1283.482888464013
VentilatorPressure,InceptionE,InceptionE,0.3761823651579164
WaveDataTension,FreshPRINCE,RotF,15.21209346911326
WindTurbinePower,FreshPRINCE,InceptionE,283.4952466199442
ZincConcentration,MultiROCKET,DrCIF,1.429352328589416
